id,name,slug,status,status_slug,category,category_slug,city,city_slug,address,map_link,phone,phone2,email,website,certificate_start,certificate_end,certificate_link,supervisor_name,supervisor_phone,supervisor_email,logo_url,keywords,created_at,updated_at
1931,,eltuzer-et-zhk,Сертифицированные,sertifikattalgan,Колбасное производство,shuzhyq-ondirisi,Атырауская обл.,atyrau-oblysy,"Атырау қаласы, Мұнайшы ш.а., 10-46а       ",https://2gis.kz/kk/atyrau/search/%D0%9C%D2%B1%D0%BD%D0%B0%D0%B9%D1%88%D1%8B%20%D1%88.%D0%B0.%2C%2010-46%D0%B0/geo/70030076164134734/51.940423%2C47.142913?m=51.940444%2C47.142904%2F17.95,87057913131,,aan555070@gmail.com,,,,,Амангелдиев Ақылбек,+7 702 202 2329,i.e.bekjan@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1930,,bereke-taamkz-zhshs,Сертифицированные,sertifikattalgan,Полуфабрикаты,muzdatylgan-zhartylaj-dajyn-onimderi,Алматинская обл.,almaty-oblysy,,,87475647766,,,,,,,Жұмабеков Жанәбіл,,abdurrahman_2013@bk.ru,https://halaldamu.kz{'path': None},,[],[]
1929,,azimfood-zhk,Сертифицированные,sertifikattalgan,Мясной магазин,et-dukeni,Атырауская обл.,atyrau-oblysy,"Атырау қаласы, Н.Шманов көшесі, 46",https://2gis.kz/atyrau/search/%D0%A8%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%20%D0%BA%D3%A9%D1%88%D0%B5%D1%81%D1%96%2C%2046%20%D0%B0%D1%82%D1%8B%D1%80%D0%B0%D1%83/geo/70030076164160826/51.911641%2C47.139888?m=51.911681%2C47.139875%2F17.95,87012222182,,ankkb_83@mail.ru,,,,,Амангелдиев Ақылбек,+7 702 202 2329,i.e.bekjan@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1928,,orazbaeva-zhkdaf,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Алматы,almaty-qalasy,"Ақмола облысы, Көкшетау қаласы,  Ы.Алтынсарин көшесі, 22Б",https://2gis.kz/kokshetau/firm/70000001097153663?m=69.410778%2C53.279685%2F16,87773815777,,,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68b/6bd/865/68b6bd86517fa157737509.jpg'},,[],[]
1927,,orazbaeva-zhkfdgfg,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Астана,nur-sultan-qalasy,,,87773815777,,,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68b/6bd/7a4/68b6bd7a46a35123766160.jpg'},,[],[]
1926,,orazbaeva-zhksfa,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Астана,nur-sultan-qalasy,,,87773815777,,,,,,,Муталов Науан,8 701 335 77 15,Nauanhazret_kz@mail.ru,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68b/6bd/65d/68b6bd65d42c6793717545.jpg'},,[],[]
1925,,urunbekov-mp-zhk,Сертифицированные,sertifikattalgan,Масло,maj-ondirisi,Туркестанская обл.,turkistan-oblysy,,,87028587777,,bestoilkz@gmail.com,,,,,Мұстафа Калджанович,‪+7 771 634 8484‬,,https://halaldamu.kz{'path': None},,[],[]
1924,,rmanbek-zhk,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Чимкент,shymkent-qalasy,"Шымкент қаласы, Ескі өзен көшесі, 8",https://2gis.kz/shymkent/search/Bibi%20Mariyam%20%D1%88%D1%8B%D0%BC%D0%BA%D0%B5%D0%BD%D1%82/firm/70000001080146457/69.658773%2C42.349649?m=69.658744%2C42.349636%2F18,87079826412,,bakzhan2016@mail.ru,,,,,Сарыбаев Қазбек,8 701 351 09 38,kazybek-kaz@mail.ru,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68a/c11/372/68ac113729c69675949891.jpg'},,[],[]
1923,,bulegenova-sr-zhk,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,Атырауская обл.,atyrau-oblysy,"Атырау қаласы, М.Утемисов көшесі, 116А",https://2gis.kz/atyrau/branches/70000001069503937/firm/70000001102311873/51.928896%2C47.102118?m=51.912045%2C47.104364%2F15.41,87716684447,,cakesbakes.nasikha@mail.ru,,,,,Амангелдиев Ақылбек,+7 702 202 2329,i.e.bekjan@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1922,,lyazzat-2016-zhshs,Сертифицированные,sertifikattalgan,Молочные продукты,sut-onimderi,Жетысуская область,taldyqorgan-qalasy,,,87770202463,,milkylazzat@gmail.com,,,,,Ордыбай Мұхаммед,8 702 291 06 81,muhammad_0681@mail.ru,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68a/c0e/e65/68ac0ee653caa698331585.jpg'},,[],[]
1921,,uraimzhanov-urinbaj-akbaralievich-zhkfbgfh,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Чимкент,shymkent-qalasy,"Шымкент қаласы, Қаратау ауданы, Әл-Фараби көшесі, 93",https://2gis.kz/shymkent/search/%D3%98%D0%BB-%D0%A4%D0%B0%D1%80%D0%B0%D0%B1%D0%B8%20%D0%BA%D3%A9%D1%88%D0%B5%D1%81%D1%96%2C%2093%20%20%D1%88%D1%8B%D0%BC%D0%BA%D0%B5%D0%BD%D1%82/geo/22659371323601835/69.553941%2C42.353087?m=69.553953%2C42.353061%2F18,8701 249 75 37,,uraimzhanovurinbay@gmail.com,,,,,Сарыбаев Қазбек,8 701 351 09 38,kazybek-kaz@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1920,,tal-tre-zhklfdw,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,Жамбылская обл.,zhambyl-oblysy,"Жамбыл облысы, Аса мөлтек ауданы 40/3.",https://2gis.kz/taraz/firm/70000001056618530?m=71.335226%2C42.886332%2F16,8 708 834 28 03,,krg.chicago@mail.ru,,,,,Аблайхан Кәріпбаев,8 702 732 00 42,medrese_hibatulla@mail.ru,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68a/bf8/ba0/68abf8ba0f7b3897612962.jpg'},,[],[]
1919,,tapenova-zhk,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Караганда,qaragandy-qalasy,"Карағанды қаласы, 137 есептік орам, 102",https://2gis.kz/karaganda/search/RAUDA%20BA%C4%9EY%20%D0%BA%D0%B0%D1%80%D0%B0%D0%B3%D0%B0%D0%BD%D0%B4%D0%B0/firm/70000001102862772/73.135985%2C49.797797?m=73.135963%2C49.797822%2F17.87,87003519784  /  87015937106,,tapenova84@mail.ru,,,,,Амангелді Асқаров,8 777 517 04 49,,https://halaldamu.kz{'path': None},,[],[]
1918,,adal-et-zhkfgd,Сертифицированные,sertifikattalgan,Мясной магазин,et-dukeni,г. Усть-каменогорск,oskemen-qalasy,"ШҚО, Өскемен қаласы, Назарбаев көшесі, 52",https://2gis.kz/ust-kamenogorsk/inside/12807747095505474/firm/70000001020886727?m=82.595054%2C49.96923%2F17.86,87782024444  /   87012295113,,bakir009@mail.ru,,,,,Данияр Бақзейнелұлы,+7 747 902 7796,,https://halaldamu.kz{'path': None},,[],[]
1917,,haliullin-mt-zhk,Сертифицированные,sertifikattalgan,Мясной магазин,et-dukeni,ЗКО,bqo,"Орал қаласы, Кеменгер көшесі, 45/1",https://2gis.kz/uralsk/search/TAZAL%20%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D1%81%D0%BA/firm/70000001040426242/51.46405%2C51.263207?m=51.464085%2C51.263198%2F17.82,87010000882,,khaliullinmt@gmail.com,,,,,Асылбеков Асхат,8 775 990 93 63,asik07-07@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1916,,astaninskaya-fabrika-vostochnyh-sladostej-zhshs,Сертифицированные,sertifikattalgan,Кондитерские изделия,konditerlik-onimderi,г. Астана,nur-sultan-qalasy,,,87074479897,,c5internanional@mail.ru,,,,,Дулат Қадырұлы,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68a/30f/19d/68a30f19dbdf7851913160.jpeg'},,[],[]
1915,,altyn-say-zhk,Сертифицированные,sertifikattalgan,Полуфабрикаты,muzdatylgan-zhartylaj-dajyn-onimderi,Жамбылская обл.,zhambyl-oblysy,,,87086090138,,saidazimov.r@mail.ru,,,,,Аблайхан Кәріпбаев,8 702 732 00 42,medrese_hibatulla@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1914,,ali-di-almaty-zhshs,Сертифицированные,sertifikattalgan,Ет өңдеу (ет комбинаты),et-kombinaty,г. Алматы,almaty-qalasy,,,87007770989,,kuanyshbayev24@gmail.com,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': None},,[],[]
1913,,teleu-zhk,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Чимкент,shymkent-qalasy,"ҚР, Шымкент қаласы, Жаушықұм көшесі, 26",https://2gis.kz/shymkent/search/Sultan%20Saray%20%D0%A8%D0%AB%D0%9C%D0%9A%D0%95%D0%9D%D0%A2/firm/70000001094118016/69.662657%2C42.348993?m=69.662627%2C42.348981%2F18,87058874994,,bayan26@mail.ru,,,,,Сарыбаев Қазбек,8 701 351 09 38,kazybek-kaz@mail.ru,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68a/2cc/cdd/68a2cccdd1879143556300.jpg'},,[],[]
1912,,bajmoldaev-zhk,Сертифицированные,sertifikattalgan,Мясной магазин,et-dukeni,г. Алматы,almaty-qalasy,"Алматы қаласы, Абай даңғылы, 109/12",https://2gis.kz/almaty/firm/70000001101188961?m=76.911661%2C43.241365%2F16,87077169407,,,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': None},,[],[]
1911,,dyusembekova-gulmira-serikovna-zhkdmfjm,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Караганда,qaragandy-qalasy,,,8701 609 94 73,,n-crew@mail.ru,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68a/2b9/91e/68a2b991e496a094309506.png'},,[],[]
1910,,moi-filter-zhk,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,ЗКО,bqo,"БҚО, Ақсай қаласы, С.Датұлы, 6/2",https://2gis.kz/uralsk/firm/70000001103036113?m=53.02144%2C51.162492%2F16,87051914602,,make-aksai@mail.ru,,,,,Асылбеков Асхат,8 775 990 93 63,asik07-07@mail.ru,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/689/057/d17/689057d17bc0c717423288.jpg'},,[],[]
1909,,narymbetov-zhk,Сертифицированные,sertifikattalgan,Мясной магазин,et-dukeni,г. Алматы,almaty-qalasy,"Алматы қаласы, 9 ы.а., 31 үй",https://2gis.kz/almaty/firm/70000001098719809?m=76.864571%2C43.215761%2F16,87472020097,,asylsheden@gmail.com,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/689/056/dcd/689056dcdfc61359913023.jpg'},,[],[]
1908,,kaz-eco-meat-zhshs,Сертифицированные,sertifikattalgan,Скотобойня,qasaphana,Туркестанская обл.,turkistan-oblysy,,,87016891818,,too_kazecomet@mail.ru,,,,,Мұстафа Калджанович,‪+7 771 634 8484‬,,https://halaldamu.kz{'path': None},,[],[]
1907,,pro-meat-zhshs,Сертифицированные,sertifikattalgan,Ет өңдеу (ет комбинаты),et-kombinaty,г. Алматы,almaty-qalasy,"Алматы қаласы, С.Дьяченко көшесі, 40а",https://2gis.kz/almaty/geo/9430047375016641?m=76.835593%2C43.195534%2F16,87017883313,,murat-69@internet.ru,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': None},,[],[]
1906,,atantaeva-zhk,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,Костанайская обл.,qostanaj-oblysy,"Қостанай қаласы, Н.Назарбаев көшесі, 170",https://2gis.kz/kostanaj/firm/70000001099129257?m=63.628913%2C53.230831%2F16,87789119688,,elzira17@mail.ru,,,,,Балахмет Алишер,8 775 108 38 18,alisherbt_94@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1905,,too-uralskij-molochnyj-zavod,Сертифицированные,sertifikattalgan,Молочные продукты,sut-onimderi,ЗКО,bqo,"ЗКО, город Уральск, улица Гагарина, 4А",https://2gis.kz/uralsk/inside/70030076163200627/firm/70000001030572201?m=51.429688%2C51.226557%2F16,87784979797,,uralsktrade2020@mail.ru,,,,,Асылбеков Асхат,8 775 990 93 63,asik07-07@mail.ru,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/689/9e0/1c6/6899e01c63df8891520687.jpeg'},,[],[]
1904,,master-kofe-zhshs,Сертифицированные,sertifikattalgan,Производство кофе и чая,kofe-zhane-shaj-ondirisi,г. Астана,nur-sultan-qalasy,"Астана қаласы, Тілендиев көшесі, 347/1",https://2gis.kz/astana/firm/70000001076234385?m=71.328379%2C51.192068%2F16,87024404960,,sayatdaniyarov@mastercoffee.kz,,,,,Дулат Қадырұлы,,,https://halaldamu.kz{'path': None},,[],[]
1903,,akimzhanova-zhk,Сертифицированные,sertifikattalgan,Кондитерские изделия,konditerlik-onimderi,г. Караганда,qaragandy-qalasy,"Қарағанды қаласы, Пруды көшесі, 9/3 ",https://2gis.kz/karaganda/geo/70030076616580640?m=73.181019%2C49.835186%2F16,87001874707  / 87011874707,,kausarchik@mail.ru,,,,,Амангелді Асқаров,8 777 517 04 49,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/68b/fc9/a82/68bfc9a820667844599196.jpeg'},,[],[]
1902,,batyrshaev-rk-zhk,Сертифицированные,sertifikattalgan,Полуфабрикаты,muzdatylgan-zhartylaj-dajyn-onimderi,г. Караганда,qaragandy-qalasy,"Карағанды қаласы, Ондасынов көшесі, 8/3",https://2gis.kz/karaganda/branches/70000001065311988/firm/70000001065311989/73.169354%2C49.778023?m=73.16934%2C49.77804%2F17.88,87786853037,,greenkrg09@mail.ru,,,,,Амангелді Асқаров,8 777 517 04 49,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/688/719/916/6887199161c26085209258.jpg'},,[],[]
1901,,chef-zhk,Сертифицированные,sertifikattalgan,Фастфуд,fast-fud-onimderi,Туркестанская обл.,turkistan-oblysy,"Түркістан облысы, Кентау қаласы, Б.Момышұлы, 56/1",https://2gis.kz/turkestan/search/SALEM%20%D0%BA%D0%B5%D0%BD%D1%82%D0%B0%D1%83/firm/70000001097266279/68.507929%2C43.513766?m=68.507893%2C43.513747%2F18,87471782003,,abdirakhmanovk1@mail.ru,,,,,Мұстафа Калджанович,‪+7 771 634 8484‬,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/688/718/bfd/688718bfd2435256174749.jpg'},,[],[]
1900,,asylbekova-zhk,Сертифицированные,sertifikattalgan,Фастфуд,fast-fud-onimderi,г. Караганда,qaragandy-qalasy,"Карағанды қаласы, Кузембаев көшесі, стр 14",https://2gis.kz/karaganda/search/AIFOOD%20%D0%BA%D0%B0%D1%80%D0%B0%D0%B3%D0%B0%D0%BD%D0%B4%D0%B0/firm/70000001102893591/73.188803%2C49.886399?m=73.083253%2C49.816108%2F10.94,87023458801,,asylbekovaaizat@mail.ru,,,,,Амангелді Асқаров,8 777 517 04 49,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/688/717/c05/688717c05595e213735531.jpg'},,[],[]
1899,,buranbaeva-zhk,Сертифицированные,sertifikattalgan,Мясной магазин,et-dukeni,Актюбинская обл.,aqtobe-oblysy,"Ақтөбе қаласы, 12 ы.а.,16",https://2gis.kz/aktobe/inside/70030076156802487/firm/70000001100208775?m=57.193679%2C50.279055%2F17.86,87757558333,,uuytjhg@mail.ru,,,,,Алмат Амангелдіұлы,+7 771 168 9070,almat.ali@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1898,,ip-garsov-ahmet-musaevich,Сертифицированные,sertifikattalgan,Басқа,bas,г. Астана,nur-sultan-qalasy,"город Астана, ​улица С.Сейфуллина, 63/5",https://2gis.kz/astana/inside/9570784863336800/firm/70000001034401384?m=71.45165%2C51.172976%2F17.84,87006962186,,87006962186@mail.ru,,,,,Дулат Қадырұлы,,,https://halaldamu.kz{'path': None},,[],[]
1897,,too-sevesilzerno,Сертифицированные,sertifikattalgan,Производство муки,un-ondirisi,СКО,sqo,,,87054421012,,info@esilzerno.kz,,,,,Аманжолов Мақсат,8 778 801 84 83,maksat_zhumazhanov@mail.ru,https://halaldamu.kz{'path': None},,[],[]
1896,,too-hlebo-molochnyj-kombinat-1,Сертифицированные,sertifikattalgan,Кондитерские изделия,konditerlik-onimderi,ЗКО,bqo,,,87019578757,,technolog@kazkon.kz,,,,,Асылбеков Асхат,8 775 990 93 63,asik07-07@mail.ru,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/688/711/f28/688711f28fcf3092589451.png'},,[],[]
1895,,pate-group-zhshsyrngv,Сертифицированные,sertifikattalgan,Кондитерские изделия,konditerlik-onimderi,г. Алматы,almaty-qalasy,"Алматы қаласы, Н.Серікбаев көшесі, 99",https://2gis.kz/almaty/search/Pate%2C%20%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D0%B8%20%D0%B0%D0%BB%D0%BC%D0%B0%D1%82%D1%8B/firm/70000001088200841/76.897273%2C43.208593?m=76.89731%2C43.208606%2F18,8 775 826 39 26  /    8 778 710 85 55,,,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/688/70c/0e6/68870c0e63122973168418.jpg'},,[],[]
1894,,pate-group-zhshslkdfjk,Сертифицированные,sertifikattalgan,Кондитерские изделия,konditerlik-onimderi,г. Астана,nur-sultan-qalasy,"Астана қаласы, Бұқар жырау көшесі, 28 Б",https://2gis.kz/astana/branches/70000001057649367/firm/70000001080075004/71.417375%2C51.100993?m=71.443112%2C51.129953%2F10.79,8 775 826 39 26 /  8 778 710 85 55,,,,,,,Дулат Қадырұлы,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/688/70b/81b/68870b81b44aa518839994.jpg'},,[],[]
1893,,pate-group-zhshsojbhhv,Сертифицированные,sertifikattalgan,Кондитерские изделия,konditerlik-onimderi,г. Астана,nur-sultan-qalasy,"Астана қаласы, Төле би көшесі, 48. ",https://2gis.kz/astana/branches/70000001057649367/firm/70000001069597693/71.397535%2C51.131531?m=71.443112%2C51.129953%2F10.79,8 775 826 39 26  /  8 778 710 85 55,,,,,,,Дулат Қадырұлы,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/688/70a/8b9/68870a8b91121919276951.jpg'},,[],[]
1892,,pate-group-zhshsdfa,Сертифицированные,sertifikattalgan,Кондитерские изделия,konditerlik-onimderi,г. Астана,nur-sultan-qalasy,"Астана қаласы, Ш.Қалдаяқов көшесі, 3",https://2gis.kz/astana/branches/70000001057649367/firm/70000001075808102/71.457369%2C51.119089?m=71.443112%2C51.129953%2F10.79,8 775 826 39 26  /  8 778 710 85 55,,,,,,,Дулат Қадырұлы,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/688/709/dc5/688709dc52706365809161.jpg'},,[],[]
1891,,pate-group-zhshs,Сертифицированные,sertifikattalgan,Кондитерские изделия,konditerlik-onimderi,г. Астана,nur-sultan-qalasy,"Астана қаласы,  Достық көшесі, 8",https://2gis.kz/astana/branches/70000001057649367/firm/70000001069273667/71.420452%2C51.126924?m=71.443112%2C51.129953%2F10.79,8 775 826 39 26   /   8 778 710 85 55,,,,,,,Дулат Қадырұлы,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/688/708/f75/688708f75bfd2808481057.jpg'},,[],[]
1890,,too-chips-productiondgws,Сертифицированные,sertifikattalgan,Снэк,snek-chipsy-kirieshki-tb-ondirisi,Алматинская обл.,almaty-oblysy,,,+7 (727) 2956374,,abildyaeva@snackprod.com,,,,,Жұмабеков Жанәбіл,,abdurrahman_2013@bk.ru,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/688/703/86c/68870386c2988235469711.jpg'},,[],[]
1889,,kazsteak-zhshs,Сертифицированные,sertifikattalgan,Ет өнімдері,et-nimderi,г. Алматы,almaty-qalasy,"ҚР, Астана қаласы, С 354 көшесі, 10",https://2gis.kz/astana/search/%D1%83%D0%BB%D0%B8%D1%86%D0%B0%20%D0%A1%20354%2C%C2%A010/geo/9570784863343733/71.402727%2C51.223175?m=71.402727%2C51.223175%2F15.79,87755782000,,yerassyl.amanzhol25@gmail.com,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': None},,[],[]
1888,,dream-food-kz-zhshs,Сертифицированные,sertifikattalgan,Полуфабрикаты,muzdatylgan-zhartylaj-dajyn-onimderi,г. Алматы,almaty-qalasy,,,87763238059,,lpak@kfoood.kz,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': None},,[],[]
1887,,coffee-original-company-zhshs-kerege-zhk,Сертифицированные,sertifikattalgan,Кондитерские изделия,konditerlik-onimderi,г. Алматы,almaty-qalasy,,,87474553441,,zhanbekovakamila@gmail.com,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/687/a22/a80/687a22a803a6a923647855.jpg'},,[],[]
1886,,coffee-original-company-zhshs-filial-shyraq,Сертифицированные,sertifikattalgan,Общественное питание,tamaqtanu-oryndary,г. Алматы,almaty-qalasy,"ҚР, Алматы қаласы, Тургут Озала 194.",https://2gis.kz/almaty/branches/70000001026826017/firm/70000001089822255/76.882897%2C43.24043?m=76.893175%2C43.218679%2F11.79,87474553441,,zhanbekovakamila@gmail.com,,,,,Терликбаев Омиржан,,,https://halaldamu.kz{'path': 'https://halaldamu.kz/storage/app/uploads/public/687/a22/249/687a222493000435150533.jpg'},,[],[]
